addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
CEE9,7,standalone,CEE9,7,CEE9,7,1,0x02,ptr_scan
E3D0,7,standalone,E3D0,7,E3D0,7,1,0x02,ptr_scan
E3D1,7,standalone,E3D1,7,E3D1,7,1,0x02,ptr_scan
F1FF,7,standalone,F1FF,7,F1FF,7,2,0x02,ptr_scan
F200,7,standalone,F200,7,F200,7,1,0x02,ptr_scan
F10D,7,standalone,F10D,7,F10D,7,6,0x02,ptr_scan
E74C,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E74D,7,standalone,E74D,7,E74D,7,1,0x02,ptr_scan
F0E7,7,standalone,F0E7,7,F0E7,7,5,0x02,ptr_scan
F13B,7,standalone,F13B,7,F13B,7,29,0x02,ptr_scan
F13C,7,standalone,F13C,7,F13C,7,1,0x02,ptr_scan
F109,7,standalone,F109,7,F109,7,8,0x02,ptr_scan
F184,7,standalone,F184,7,F184,7,2,0x02,ptr_scan
F185,7,standalone,F185,7,F185,7,1,0x02,ptr_scan
CEC7,7,standalone,CEC7,7,CEC7,7,1,0x02,ptr_scan
CEC8,7,secondary,CE02,7,CE02,7,1,0x02,ptr_scan
F1C2,7,standalone,F1C2,7,F1C2,7,3,0x02,ptr_scan
D2C9,7,standalone,D2C9,7,D2C9,7,1,0x02,ptr_scan
D2CA,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
EBC9,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
EBCA,7,standalone,EBCA,7,EBCA,7,1,0x02,ptr_scan
F1F9,7,standalone,F1F9,7,F1F9,7,3,0x02,ptr_scan
F1FA,7,standalone,F1FA,7,F1FA,7,1,0x02,ptr_scan
ED4C,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
F1ED,7,standalone,F1ED,7,F1ED,7,5,0x02,ptr_scan
F1EE,7,standalone,F1EE,7,F1EE,7,1,0x02,ptr_scan
F6C9,7,standalone,F6C9,7,F6C9,7,1,0x02,ptr_scan
F6CA,7,secondary,F6B3,7,F6B3,7,1,0x02,ptr_scan
F34C,7,standalone,F34C,7,F34C,7,1,0x02,ptr_scan
F34D,7,standalone,F34D,7,F34D,7,1,0x02,ptr_scan
F1F3,7,standalone,F1F3,7,F1F3,7,9,0x02,ptr_scan
F1F4,7,standalone,F1F4,7,F1F4,7,1,0x02,ptr_scan
F253,7,standalone,F253,7,F253,7,6,0x02,ptr_scan
F254,7,standalone,F254,7,F254,7,1,0x02,ptr_scan
F24C,7,standalone,F24C,7,F24C,7,10,0x02,ptr_scan
E806,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
EA5D,7,standalone,EA5D,7,EA5D,7,1,0x02,ptr_scan
EA5E,7,standalone,EA5E,7,EA5E,7,1,0x02,ptr_scan
F27F,7,standalone,F27F,7,F27F,7,2,0x02,ptr_scan
DEB9,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
DEBA,7,standalone,DEBA,7,DEBA,7,1,0x02,ptr_scan
F2DF,7,standalone,F2DF,7,F2DF,7,1,0x02,ptr_scan
F2A3,7,standalone,F2A3,7,F2A3,7,3,0x02,ptr_scan
F2A4,7,standalone,F2A4,7,F2A4,7,1,0x02,ptr_scan
F2BB,7,standalone,F2BB,7,F2BB,7,6,0x02,ptr_scan
F2BC,7,standalone,F2BC,7,F2BC,7,1,0x02,ptr_scan
